global_key,conf_key,year,publisher,title,link
icse,conf/icse/2009chase,2009,IEEE Computer Society,"Proceedings of the 2009 ICSE Workshop on Cooperative and Human Aspects on Software Engineering, CHASE 2009, Vancouver, BC, Canada, 17 May 2009",https://www.computer.org/csdl/proceedings/chase/2009/3712/00/index.html
icse,conf/icse/2009mise,2009,IEEE Computer Society,"ICSE Workshop on Modeling in Software Engineering, MiSE 2009, Vancouver, BC, Canada, May 17-18, 2009",http://www.computer.org/csdl/proceedings/mise/2009/3722/00/index.html
icse,conf/icse/2009pesos,2009,IEEE Computer Society,"International ICSE Workshop on Principles of Engineering Service-Oriented Systems, PESOS 2009, 18-19 May 2009, Vancouver, BC, Canada",http://dl.acm.org/citation.cfm?id=1564601
icse,conf/icse/2009seams,2009,IEEE Computer Society,"2009 ICSE Workshop on Software Engineering for Adaptive and Self-Managing Systems, SEAMS 2009, Vancouver, BC, Canada, May 18-19, 2009",http://www.computer.org/csdl/proceedings/seams/2009/3724/00/index.html
icse,conf/icse/2009secse,2009,IEEE Computer Society,"ICSE Workshop on Software Engineering for Computational Science and Engineering, SE-CSE 2009, Vancouver, BC, Canada, May 23, 2009",http://www.computer.org/csdl/proceedings/secse/2009/3737/00/index.html
icse,conf/icse/2009sehc,2009,IEEE Computer Society,"ICSE Workshop on Software Engineering in Health Care, SEHC 2009, Vancouver, BC, Canada, May 18-19, 2009",http://dl.acm.org/citation.cfm?id=1556905
icse,conf/icse/2009sess,2009,IEEE Computer Society,"ICSE Workshop on Software Engineering for Secure Systems, SESS 2009, Vancouver, BC, Canada, May 19, 2009",http://www.computer.org/csdl/proceedings/sess/2009/3725/00/index.html
icse,conf/icse/2009shark,2009,IEEE Computer Society,"ICSE Workshop on Sharing and Reusing Architectural Knowledge, SHARK 2009, Vancouver, BC, Canada, May 16, 2009",http://dl.acm.org/citation.cfm?id=1556906
icse,conf/icse/2009tefse,2009,IEEE Computer Society,"ICSE Workshop on Traceability in Emerging Forms of Software Engineering, TEFSE@ICSE 2009. Vancouver, BC, Canada, 18 May, 2009",https://www.computer.org/csdl/proceedings/tefse/2009/3741/00/index.html
icse,conf/icse/2009wads,2010,Springer,Architecting Dependable Systems VII,http://dx.doi.org/10.1007/978-3-642-17245-8
icse,conf/icse/2009wosq,2009,IEEE Computer Society,"2009 ICSE Workshop on Software Quality, WoSQ@ICSE 2009, Vancouver, BC, Canada, May 16, 2009",https://www.computer.org/csdl/proceedings/wosq/2009/3723/00/index.html
icse,conf/icse/2010-1,2010,ACM,"Proceedings of the 32nd ACM/IEEE International Conference on Software Engineering - Volume 1, ICSE 2010, Cape Town, South Africa, 1-8 May 2010",\N
icse,conf/icse/2010-2,2010,ACM,"Proceedings of the 32nd ACM/IEEE International Conference on Software Engineering - Volume 2, ICSE 2010, Cape Town, South Africa, 1-8 May 2010",\N
icse,conf/icse/2010ast,2010,ACM,"The 5th Workshop on Automation of Software Test, AST 2010, May 3-4, 2010, Cape Town, South Africa",http://dl.acm.org/citation.cfm?id=1808266
icse,conf/icse/2010chase,2010,ACM,"Proceedings of the 2010 ICSE Workshop on Cooperative and Human Aspects of Software Engineering, CHASE 2010, Cape Town, South Africa, May 2, 2010",http://dl.acm.org/citation.cfm?id=1833310
icse,conf/icse/2010pesos,2010,ACM,"Proceedings of the 2nd International Workshop on Principles of Engineering Service-Oriented Systems, PESOS 2010, Cape Town, South Africa, May 1-2, 2010",http://dl.acm.org/citation.cfm?id=1808885
icse,conf/icse/2010please,2010,ACM,"Proceedings of the 2010 ICSE Workshop on Product Line Approaches in Software Engineering, PLEASE 2010, Cape Town, South Africa, May 2, 2010",http://dl.acm.org/citation.cfm?id=1808937
icse,conf/icse/2010quovadis,2010,ACM,"Proceedings of the 2010 ICSE Workshop on Quantitative Stochastic Models in the Verification and Design of Software Systems, QUOVADIS '10, May 3, 2010, Cape Town, South Africa",http://dl.acm.org/citation.cfm?id=1808880
icse,conf/icse/2010rsse,2010,ACM,"Proceedings of the 2nd International Workshop on Recommendation Systems for Software Engineering, RSSE 2010, Cape Town, South Africa, May 4, 2010",http://dl.acm.org/citation.cfm?id=1808920
icse,conf/icse/2010seams,2010,ACM,"2010 ICSE Workshop on Software Engineering for Adaptive and Self-Managing Systems, SEAMS 2010, Cape Town, South Africa, May 3-4, 2010",http://dl.acm.org/citation.cfm?id=1808984
icse,conf/icse/2010sehc,2010,ACM,"Proceedings of the 2010 ICSE Workshop on Software Engineering in Health Care, SEHC 2010, Cape Town, South Africa, May 3-4, 2010",http://dl.acm.org/citation.cfm?id=1809085
icse,conf/icse/2010sesena,2010,ACM,"Proceedings of the 2010 ICSE Workshop on Software Engineering for Sensor Network Applications, SESENA 2010, Cape Town, South Africa, May 3, 2010",http://dl.acm.org/citation.cfm?id=1809111
icse,conf/icse/2010sess,2010,ACM,"ICSE Workshop on Software Engineering for Secure Systems, SESS 2010, May 2, 2010, Cape Town, South Africa",http://dl.acm.org/citation.cfm?id=1809100
icse,conf/icse/2010shark,2010,ACM,"Proceedings of the 2010 ICSE Workshop on Sharing and Reusing Architectural Knowledge, SHARK 2010, Cape Town, South Africa, May 2, 2010",http://dl.acm.org/citation.cfm?id=1833335
icse,conf/icse/2010wetsom,2010,ACM,"Proceedings of the 2010 ICSE Workshop on Emerging Trends in Software Metrics, WETSoM 2010, Cape Town, South Africa, May 4, 2010",http://dl.acm.org/citation.cfm?id=1809223
icse,conf/icse/2011,2011,ACM,"Proceedings of the 33rd International Conference on Software Engineering, ICSE 2011, Waikiki, Honolulu , HI, USA, May 21-28, 2011",\N
icse,conf/icse/2011ast,2011,ACM,"Proceedings of the 6th International Workshop on Automation of Software Test, AST 2011, Waikiki, Honolulu, HI, USA, May 23-24, 2011",http://dl.acm.org/citation.cfm?id=1982595
icse,conf/icse/2011chase,2011,ACM,"Proceedings of the 4th International Workshop on Cooperative and Human Aspects of Software Engineering, CHASE 2011, Waikiki, Honolulu, HI, USA, May 21, 2011",http://dl.acm.org/citation.cfm?id=1984642
icse,conf/icse/2011ctgdsd,2011,ACM,"Proceedings of the 2011 Community Building Workshop on Collaborative Teaching of Globally Distributed Software Development, CTGDSD 2011, Waikiki, Honolulu, HI, USA, May 21-28, 2011",http://dl.acm.org/citation.cfm?id=1984665
icse,conf/icse/2011mtd,2011,ACM,"Proceedings of the 2nd Workshop on Managing Technical Debt, MTD 2011, Waikiki, Honolulu, HI, USA, May 23, 2011",http://dl.acm.org/citation.cfm?id=1985362
